MES_REFERENCIA;VENDEDOR;SUBMARCA;META_FATURAMENTO
2025-01;VEN001;Energéticos;75365.4
2025-01;VEN001;Isotônicos;55009.11
2025-01;VEN001;Cerveja Premium;41601.97
2025-01;VEN002;Energéticos;75674.95
2025-01;VEN002;Isotônicos;58704.25
2025-01;VEN002;Cerveja Premium;47657.38
2025-01;VEN003;Energéticos;77514.07
2025-01;VEN003;Isotônicos;68220.71
2025-01;VEN003;Cerveja Premium;36264.7
2025-01;VEN004;Energéticos;74695.19
2025-01;VEN004;Isotônicos;59361.58
2025-01;VEN004;Cerveja Premium;51162.08
2025-01;VEN005;Energéticos;90527.63
2025-01;VEN005;Isotônicos;54397.15
2025-01;VEN005;Cerveja Premium;42368.64
2025-01;VEN006;Energéticos;65076.32
2025-01;VEN006;Isotônicos;58194.87
2025-01;VEN006;Cerveja Premium;49703.2
2025-01;VEN007;Energéticos;59868.8
2025-01;VEN007;Isotônicos;64797.79
2025-01;VEN007;Cerveja Premium;51871.31
2025-01;VEN008;Energéticos;81033.2
2025-01;VEN008;Isotônicos;62765.52
2025-01;VEN008;Cerveja Premium;57864.76
2025-01;VEN009;Energéticos;86553.56
2025-01;VEN009;Isotônicos;65466.81
2025-01;VEN009;Cerveja Premium;30380.44
2025-01;VEN010;Energéticos;92598.11
2025-01;VEN010;Isotônicos;56785.66
2025-01;VEN010;Cerveja Premium;35286.8
2025-01;VEN011;Energéticos;85198.03
2025-01;VEN011;Isotônicos;48974.23
2025-01;VEN011;Cerveja Premium;47050.81
2025-01;VEN012;Energéticos;78346.04
2025-01;VEN012;Isotônicos;44781.89
2025-01;VEN012;Cerveja Premium;55975.23
2025-01;VEN013;Energéticos;109291.68
2025-01;VEN013;Isotônicos;48921.59
2025-01;VEN013;Cerveja Premium;44780.71
2025-01;VEN014;Energéticos;97403.29
2025-01;VEN014;Isotônicos;50297.31
2025-01;VEN014;Cerveja Premium;62572.39
2025-01;VEN015;Energéticos;82298.81
2025-01;VEN015;Isotônicos;51978.25
2025-01;VEN015;Cerveja Premium;45920.83
2025-01;VEN016;Energéticos;71753.47
2025-01;VEN016;Isotônicos;54995.83
2025-01;VEN016;Cerveja Premium;44353.6
2025-01;VEN017;Energéticos;109641.32
2025-01;VEN017;Isotônicos;60112.18
2025-01;VEN017;Cerveja Premium;53869.4
2025-01;VEN018;Energéticos;95392.66
2025-01;VEN018;Isotônicos;78578.52
2025-01;VEN018;Cerveja Premium;44676.55
2025-01;VEN019;Energéticos;94736.95
2025-01;VEN019;Isotônicos;58924.08
2025-01;VEN019;Cerveja Premium;59256.7
2025-01;VEN020;Energéticos;91967.54
2025-01;VEN020;Isotônicos;59005.43
2025-01;VEN020;Cerveja Premium;41366.83
2025-01;VEN021;Energéticos;79513.25
2025-01;VEN021;Isotônicos;46696.97
2025-01;VEN021;Cerveja Premium;49349.36
2025-01;VEN022;Energéticos;87544.92
2025-01;VEN022;Isotônicos;46184.81
2025-01;VEN022;Cerveja Premium;49994.44
2025-01;VEN023;Energéticos;92396.36
2025-01;VEN023;Isotônicos;46161.67
2025-01;VEN023;Cerveja Premium;49525.19
2025-01;VEN024;Energéticos;64426.43
2025-01;VEN024;Isotônicos;44332.31
2025-01;VEN024;Cerveja Premium;30986.42
2025-01;VEN025;Energéticos;82282.05
2025-01;VEN025;Isotônicos;44545.9
2025-01;VEN025;Cerveja Premium;34635.25
2025-01;VEN026;Energéticos;85555.75
2025-01;VEN026;Isotônicos;65130.09
2025-01;VEN026;Cerveja Premium;58872.75
2025-01;VEN027;Energéticos;78906.7
2025-01;VEN027;Isotônicos;48797.14
2025-01;VEN027;Cerveja Premium;41521.2
2025-01;VEN028;Energéticos;99937.54
2025-01;VEN028;Isotônicos;64657.34
2025-01;VEN028;Cerveja Premium;35465.81
2025-01;VEN029;Energéticos;83589.37
2025-01;VEN029;Isotônicos;49934.28
2025-01;VEN029;Cerveja Premium;55815.59
2025-01;VEN030;Energéticos;69175.3
2025-01;VEN030;Isotônicos;57177.26
2025-01;VEN030;Cerveja Premium;46962.96
2025-01;VEN031;Energéticos;86347.37
2025-01;VEN031;Isotônicos;73464.19
2025-01;VEN031;Cerveja Premium;36968.53
2025-01;VEN032;Energéticos;83583.28
2025-01;VEN032;Isotônicos;55213.41
2025-01;VEN032;Cerveja Premium;35014.41
2025-01;VEN033;Energéticos;98230.38
2025-01;VEN033;Isotônicos;65262.72
2025-01;VEN033;Cerveja Premium;55897.9
2025-01;VEN034;Energéticos;101577.1
2025-01;VEN034;Isotônicos;68272.25
2025-01;VEN034;Cerveja Premium;39826.36
2025-01;VEN035;Energéticos;77982.0
2025-01;VEN035;Isotônicos;45871.14
2025-01;VEN035;Cerveja Premium;42894.53
2025-01;VEN036;Energéticos;68502.43
2025-01;VEN036;Isotônicos;53136.39
2025-01;VEN036;Cerveja Premium;46670.06
2025-01;VEN037;Energéticos;95189.32
2025-01;VEN037;Isotônicos;45559.06
2025-01;VEN037;Cerveja Premium;37212.37
2025-01;VEN038;Energéticos;97537.29
2025-01;VEN038;Isotônicos;61738.11
2025-01;VEN038;Cerveja Premium;50786.0
2025-01;VEN039;Energéticos;89357.13
2025-01;VEN039;Isotônicos;46587.11
2025-01;VEN039;Cerveja Premium;44965.06
2025-01;VEN040;Energéticos;90100.54
2025-01;VEN040;Isotônicos;57887.95
2025-01;VEN040;Cerveja Premium;41710.22
